x_m,p_over_rho_m2_s2
5.940000,4.228992
5.946000,4.228877
5.952000,4.228761
5.958000,4.228645
5.964000,4.228529
5.970000,4.228413
5.976000,4.228298
5.982000,4.228182
5.988000,4.228066
5.994000,4.227950
6.000000,4.227834
6.006000,4.227718
6.012000,4.227603
6.018000,4.227487
6.024000,4.227371
6.030000,4.227255
6.036000,4.227139
6.042000,4.227023
6.048000,4.226908
6.054000,4.226792
6.060000,4.226676
6.066000,4.226560
6.072000,4.226444
6.078000,4.226329
6.084000,4.226213
6.090000,4.226097
6.096000,4.225981
6.102000,4.225865
6.108000,4.225749
6.114000,4.225634
6.120000,4.225518
6.126000,4.225402
6.132000,4.225286
6.138000,4.225170
6.144000,4.225054
6.150000,4.224939
6.156000,4.224823
6.162000,4.224707
6.168000,4.224591
6.174000,4.224475
6.180000,4.224360
6.186000,4.224244
6.192000,4.224128
6.198000,4.224012
6.204000,4.223896
6.210000,4.223780
6.216000,4.223665
6.222000,4.223549
6.228000,4.223433
6.234000,4.223317
6.240000,4.223201
6.246000,4.223085
6.252000,4.222970
6.258000,4.222854
6.264000,4.222738
6.270000,4.222622
6.276000,4.222506
6.282000,4.222391
6.288000,4.222275
6.294000,4.222159
6.300000,4.222043
6.306000,4.221927
6.312000,4.221811
6.318000,4.221696
6.324000,4.221580
6.330000,4.221464
6.336000,4.221348
6.342000,4.221232
6.348000,4.221116
6.354000,4.221001
6.360000,4.220885
6.366000,4.220769
6.372000,4.220653
6.378000,4.220537
6.384000,4.220422
6.390000,4.220306
6.396000,4.220190
6.402000,4.220074
6.408000,4.219958
6.414000,4.219842
6.420000,4.219727
6.426000,4.219611
6.432000,4.219495
6.438000,4.219379
6.444000,4.219263
6.450000,4.219147
6.456000,4.219032
6.462000,4.218916
6.468000,4.218800
6.474000,4.218684
6.480000,4.218568
6.486000,4.218453
6.492000,4.218337
6.498000,4.218221
6.504000,4.218105
6.510000,4.217989
6.516000,4.217873
6.522000,4.217758
6.528000,4.217642
6.534000,4.217526
6.540000,4.217410
6.546000,4.217294
6.552000,4.217178
6.558000,4.217063
6.564000,4.216947
6.570000,4.216831
6.576000,4.216715
6.582000,4.216599
6.588000,4.216484
6.594000,4.216368
6.600000,4.216252
6.606000,4.216136
6.612000,4.216020
6.618000,4.215904
6.624000,4.215789
6.630000,4.215673
6.636000,4.215557
6.642000,4.215441
6.648000,4.215325
6.654000,4.215209
6.660000,4.215094
6.666000,4.214978
6.672000,4.214862
6.678000,4.214746
6.684000,4.214630
6.690000,4.214515
6.696000,4.214399
6.702000,4.214283
6.708000,4.214167
6.714000,4.214051
6.720000,4.213935
6.726000,4.213820
6.732000,4.213704
6.738000,4.213588
6.744000,4.213472
6.750000,4.213356
6.756000,4.213241
6.762000,4.213125
6.768000,4.213009
6.774000,4.212893
6.780000,4.212777
6.786000,4.212661
6.792000,4.212546
6.798000,4.212430
6.804000,4.212314
6.810000,4.212198
6.816000,4.212082
6.822000,4.211966
6.828000,4.211851
6.834000,4.211735
6.840000,4.211619
6.846000,4.211503
6.852000,4.211387
6.858000,4.211272
6.864000,4.211156
6.870000,4.211040
6.876000,4.210924
6.882000,4.210808
6.888000,4.210692
6.894000,4.210577
6.900000,4.210461
6.906000,4.210345
6.912000,4.210229
6.918000,4.210113
6.924000,4.209997
6.930000,4.209882
6.936000,4.209766
6.942000,4.209650
6.948000,4.209534
6.954000,4.209418
6.960000,4.209303
6.966000,4.209187
6.972000,4.209071
6.978000,4.208955
6.984000,4.208839
6.990000,4.208723
6.996000,4.208608
7.002000,4.208492
7.008000,4.208376
7.014000,4.208260
7.020000,4.208144
7.026000,4.208028
7.032000,4.207913
7.038000,4.207797
7.044000,4.207681
7.050000,4.207565
7.056000,4.207449
