x,r,z,tau_x_over_rho,tau_r_over_rho,tau_z_over_rho,wall_yplus
12.8575298001,0.049969541351,0.0,-0.0159326657702,3.21403956464e-07,4.17553125945e-16,1.110994268
12.8817231076,0.049969541351,0.0,-0.0158370586582,3.03347690637e-07,4.12919004019e-16,1.10765588186
12.9065143374,0.049969541351,0.0,-0.0157444118936,2.85970397953e-07,4.04248890878e-16,1.10441123711
12.9319182668,0.049969541351,0.0,-0.0156550577839,2.69559842301e-07,4.00225316142e-16,1.10127285069
12.9579500383,0.049969541351,0.0,-0.0155685042031,2.53618745054e-07,3.84878631463e-16,1.09822427603
12.9846251685,0.049969541351,0.0,-0.0154853529336,2.38715222866e-07,3.86036792485e-16,1.09528754549
13.0119595578,0.049969541351,0.0,-0.0154047683232,2.24029539598e-07,3.72786739221e-16,1.09243393118
13.0399694992,0.049969541351,0.0,-0.0153277964283,2.10494308822e-07,3.76474652537e-16,1.08970127045
13.0686716885,0.049969541351,0.0,-0.0152530461176,1.9695032514e-07,3.6765029053e-16,1.08704090558
13.0980832344,0.049969541351,0.0,-0.0151822566176,1.84670218079e-07,3.55750545257e-16,1.08451548959
13.1282216681,0.049969541351,0.0,-0.0151132000262,1.72232723888e-07,3.50364252195e-16,1.08204621567
13.1591049541,0.049969541351,0.0,-0.0150485570158,1.6094112369e-07,3.45227833432e-16,1.07972964206
13.190751501,0.049969541351,0.0,-0.0149851562064,1.49826356635e-07,3.39922965271e-16,1.07745274641
13.2231801724,0.049969541351,0.0,-0.01492642144,1.39012563887e-07,3.31704977982e-16,1.07533911917
13.2564102978,0.049969541351,0.0,-0.0148689123274,1.29526119078e-07,3.22084851011e-16,1.07326556522
13.2904616848,0.049969541351,0.0,-0.0148155493998,1.19326463742e-07,3.16674837296e-16,1.07133791676
13.3253546304,0.049969541351,0.0,-0.0147640587947,1.106079515e-07,3.1278278763e-16,1.06947460918
13.3611099331,0.049969541351,0.0,-0.0147160344664,1.01540084619e-07,2.9900455455e-16,1.06773380622
13.3977489054,0.049969541351,0.0,-0.0146702967881,9.354912798e-08,2.99231888409e-16,1.06607324779
13.4352933869,0.049969541351,0.0,-0.0146275414051,8.54061499415e-08,2.93773749478e-16,1.06451862249
13.4737657564,0.049969541351,0.0,-0.0145873779523,7.82216752089e-08,2.91945907801e-16,1.06305617124
13.5131889463,0.049969541351,0.0,-0.014549710692,7.11874200994e-08,2.77844612837e-16,1.06168278199
13.5535864554,0.049969541351,0.0,-0.0145146998455,6.42953453828e-08,2.78014226991e-16,1.06040465345
13.5949823635,0.049969541351,0.0,-0.0144823196507,5.8070447431e-08,2.74464915045e-16,1.05922118837
13.6374013452,0.049969541351,0.0,-0.014452223898,5.27176257627e-08,2.70344201485e-16,1.05812003059
13.6808686853,0.049969541351,0.0,-0.014424180817,4.73860886756e-08,2.69792690303e-16,1.05709294458
13.7254102932,0.049969541351,0.0,-0.0143985702474,4.20434479897e-08,2.57901538159e-16,1.05615407738
13.7710527189,0.049969541351,0.0,-0.0143752197649,3.73444957297e-08,2.59666432588e-16,1.05529733558
13.8178231683,0.049969541351,0.0,-0.0143539078635,3.25908625071e-08,2.55353680173e-16,1.05451478285
13.8657495197,0.049969541351,0.0,-0.0143350788892,2.85079622749e-08,2.48968941737e-16,1.05382291734
