station,x,r,Ux,Ur,Uz,k,epsilon,nut
expansion_4D,2.6,0.04986955,0.14440233,1.4741585e-07,-1.1993445e-13,0.00055974464,0.18252992,9.8290406e-09
expansion_4D,2.6,0.049864616,0.15192885,1.8486848e-07,-1.1218359e-13,0.00068516536,0.20025458,1.3297307e-08
expansion_4D,2.6,0.049859438,0.1598268,2.2416941e-07,-1.0405022e-13,0.00081677562,0.21885396,1.6936734e-08
expansion_4D,2.6,0.049854004,0.16811452,2.6540985e-07,-9.5515469e-14,0.0009548809,0.23837122,2.0755767e-08
expansion_4D,2.6,0.049848302,0.17681123,3.0868553e-07,-8.6559522e-14,0.0010998017,0.25885166,2.4763271e-08
expansion_4D,2.6,0.049842319,0.18547186,3.5154067e-07,-9.108863e-14,0.0012441494,0.27925272,2.875497e-08
expansion_4D,2.6,0.049836041,0.19438769,3.9556469e-07,-1.009956e-13,0.0013927618,0.30025713,3.2864615e-08
expansion_4D,2.6,0.049829452,0.20374351,4.4176131e-07,-1.1139147e-13,0.0015487081,0.32229811,3.7177073e-08
expansion_4D,2.6,0.049822539,0.21356106,4.9023775e-07,-1.2230039e-13,0.0017123505,0.34542683,4.1702352e-08
expansion_4D,2.6,0.049815284,0.2238631,5.4110652e-07,-1.3374767e-13,0.0018840687,0.36969695,4.6450955e-08
expansion_4D,2.6,0.049807672,0.23467355,5.9448568e-07,-1.4575987e-13,0.0020642613,0.39516482,5.1433903e-08
expansion_4D,2.6,0.049799683,0.2460175,6.5049912e-07,-1.5836489e-13,0.0022533464,0.42188953,5.6662762e-08
expansion_4D,2.6,0.049791301,0.25792127,7.0927683e-07,-1.7159196e-13,0.0024517629,0.44993311,6.2149666e-08
expansion_4D,2.6,0.049782505,0.27041251,7.7095525e-07,-1.8547179e-13,0.0026599714,0.47936066,6.7907351e-08
expansion_4D,2.6,0.049773274,0.28352018,8.3567752e-07,-2.000366e-13,0.002878455,0.51024046,7.3949179e-08
expansion_4D,2.6,0.049763588,0.29727473,9.0359385e-07,-2.1532018e-13,0.0031077208,0.54264419,8.0289174e-08
expansion_4D,2.6,0.049753425,0.31170807,9.7486188e-07,-2.3135801e-13,0.003348301,0.57664706,8.6942049e-08
expansion_4D,2.6,0.049742759,0.3268537,1.049647e-06,-2.4818732e-13,0.0036007539,0.61232797,9.3923246e-08
expansion_4D,2.6,0.049731567,0.34269406,1.1278967e-06,-2.6741005e-13,0.0038647835,0.64964491,1.0122457e-07
expansion_4D,2.6,0.049719823,0.35829028,1.2056076e-06,-3.1800211e-13,0.0041246765,0.68637342,1.0841141e-07
expansion_4D,2.6,0.0497075,0.37465618,1.2871535e-06,-3.710909e-13,0.0043973954,0.72491449,1.1595292e-07
expansion_4D,2.6,0.049694568,0.39182973,1.3727238e-06,-4.2679965e-13,0.004683573,0.76535758,1.2386661e-07
expansion_4D,2.6,0.049680998,0.41056089,1.5686826e-06,-3.8888889e-13,0.0055053799,0.85278051,2.2710082e-07
expansion_4D,2.6,0.049666758,0.43037468,1.7979734e-06,-3.2762934e-13,0.0064839724,0.95454346,3.565869e-07
expansion_4D,2.6,0.049651815,0.4511307,2.0381296e-06,-2.6548296e-13,0.0075091063,1.0611466,4.9223164e-07
expansion_4D,2.6,0.049636136,0.47144508,2.2715992e-06,-2.8824474e-13,0.0085126659,1.1655223,6.2503639e-07
expansion_4D,2.6,0.049619682,0.49276197,2.5165906e-06,-3.1212981e-13,0.0095657515,1.2750489,7.6439511e-07
expansion_4D,2.6,0.049602416,0.51513087,2.7736725e-06,-3.3719362e-13,0.010670807,1.3899807,9.1063122e-07
expansion_4D,2.6,0.049584298,0.53860367,3.0434414e-06,-3.6349433e-13,0.011830398,1.5105844,1.0640841e-06
