x [m],p_coarse/rho [m2/s2],p_medium/rho [m2/s2],p_fine/rho [m2/s2],p_local,p_average,grid trend,order status,GCI absolute [m2/s2],GCI relative [%],lower/rho [m2/s2],upper/rho [m2/s2]
0.550458715596,6.07626046738,5.67808146917,5.48994040786,1.890147097212964,1.611553950700987,Monotonic convergence,Included,0.25592358284203465,4.661682346781514,5.2340168250179655,5.745863990702034
0.562969140951,6.06739231314,5.67016260826,5.48265613466,1.8926149855971097,1.611553950700987,Monotonic convergence,Included,0.25506036904255874,4.652131426410823,5.227595765617441,5.737716503702559
0.575479566305,6.05852415889,5.66228800612,5.47538268467,1.8943740042163306,1.611553950700987,Monotonic convergence,Included,0.2542426367995803,4.643376571858802,5.22114004787042,5.729625321469581
0.58798999166,6.04965600465,5.65441340398,5.46810923468,1.8961431221438845,1.611553950700987,Monotonic convergence,Included,0.2534249045566031,4.6345984266247715,5.214684330123397,5.721534139236603
0.600500417014,6.0407878504,5.64653880184,5.46090420559,1.8988394821148853,1.611553950700987,Monotonic convergence,Included,0.2525141010736354,4.624034620771261,5.208390104516365,5.713418306663636
0.613010842369,6.03193229588,5.6386641997,5.45373775902,1.9021512992311294,1.611553950700987,Monotonic convergence,Included,0.2515508147531373,4.612447936960197,5.202186944266863,5.705288573773137
0.625521267723,6.02352144662,5.63091429194,5.44657131245,1.9058294685969137,1.611553950700987,Monotonic convergence,Included,0.250757147080837,4.6039449902665535,5.195814165369162,5.697328459530837
0.638031693078,6.01510617295,5.62319275286,5.43943710819,1.909369763032841,1.611553950700987,Monotonic convergence,Included,0.24995821020647366,4.595295528467807,5.189478897983526,5.689395318396474
0.650542118432,6.00669089927,5.61547121378,5.43235141041,1.913586800265099,1.611553950700987,Monotonic convergence,Included,0.24909329117985748,4.585367778353232,5.183258119230143,5.681444701589857
0.663052543786,5.99827562559,5.60774967471,5.42526571263,1.9178260277801782,1.611553950700987,Monotonic convergence,Included,0.24822837216684285,4.57541409610534,5.177037340463157,5.673494084796843
0.675562969141,5.98986035191,5.60003170612,5.41819119941,1.9221690350625862,1.611553950700987,Monotonic convergence,Included,0.24735309591113,4.565233798653412,5.17083810349887,5.66554429532113
0.688073394495,5.98144507823,5.5924025296,5.41115905129,1.9253297871656712,1.611553950700987,Monotonic convergence,Included,0.2465409731021977,4.556158315905042,5.164618078187803,5.657700024392198
0.70058381985,5.97302980456,5.5847802911,5.40412690316,1.928367341386801,1.611553950700987,Monotonic convergence,Included,0.2457382879220499,4.547233851565501,5.15838861523795,5.64986519108205
0.713094245204,5.9646104787,5.57715805261,5.3970979332,1.9314389687145126,1.611553950700987,Monotonic convergence,Included,0.2449312795702943,4.538203356726414,5.152166653629706,5.642029212770295
0.725604670559,5.95619662932,5.56953581411,5.39009896053,1.9349783306798065,1.611553950700987,Monotonic convergence,Included,0.24408346664117767,4.528367075048606,5.146015493888822,5.634182427171178
0.738115095913,5.94778277994,5.56193451472,5.38310109343,1.9381262323976887,1.611553950700987,Monotonic convergence,Included,0.24326263278075339,4.519005468384238,5.139838460649246,5.626363726210753
0.750625521268,5.93936893056,5.55439932104,5.37610407353,1.9399531052672694,1.611553950700987,Monotonic convergence,Included,0.24253056844025161,4.511269966561562,5.133573505089748,5.618634641970251
0.763135946622,5.93095508117,5.54686412737,5.36912885577,1.9420949405893164,1.611553950700987,Monotonic convergence,Included,0.24176884720728659,4.502943656259371,5.127360008562713,5.610897702977287
0.775646371977,5.92254123179,5.53932893369,5.36215548606,1.9442744167884327,1.611553950700987,Monotonic convergence,Included,0.24100461210449828,4.494547253078323,5.121150873955502,5.603160098164498
0.788156797331,5.91412738241,5.53179374002,5.3551821374,1.946466133600389,1.611553950700987,Monotonic convergence,Included,0.24024034838152397,4.486128430697286,5.114941789018476,5.595422485781524
0.800667222686,5.90579476847,5.52431051679,5.3482266057,1.948378070093708,1.611553950700987,Monotonic convergence,Included,0.2395225427836776,4.478541401525522,5.108704062916322,5.587749148483677
0.81317764804,5.89749043723,5.51685568105,5.34127281597,1.9499216468942169,1.611553950700987,Monotonic convergence,Included,0.23884098242064417,4.471611742177403,5.102431833549356,5.580113798390644
0.825688073394,5.88918610598,5.50940084532,5.33431908829,1.9514739766911229,1.611553950700987,Monotonic convergence,Included,0.2381593376661498,4.464662381914156,5.09615975062385,5.57247842595615
0.838198498749,5.88088177473,5.50194600958,5.32738141704,1.95326313749865,1.611553950700987,Monotonic convergence,Included,0.23745585173767764,4.457271465079609,5.089925565302322,5.564837268777677
0.850708924103,5.87257744349,5.49450206219,5.32044547188,1.954858961776672,1.611553950700987,Monotonic convergence,Included,0.23676482900245777,4.450094080539388,5.0836806428775425,5.557210300882458
0.863219349458,5.86427311224,5.48711639956,5.31351028266,1.9552537299354138,1.611553950700987,Monotonic convergence,Included,0.23615206128306934,4.444370081558383,5.077358221376931,5.549662343943069
0.875729774812,5.85598868315,5.47973073693,5.3065911862,1.9560134293145395,1.611553950700987,Monotonic convergence,Included,0.2355174029845145,4.438205143765113,5.0710737832154855,5.542108589184515
0.888240200167,5.84782214886,5.4723450743,5.29967360805,1.9575804063605682,1.611553950700987,Monotonic convergence,Included,0.23488067936681972,4.431983868026231,5.06479292868318,5.53455428741682
0.900750625521,5.83965561458,5.46495941168,5.2927576345,1.9591780989528782,1.611553950700987,Monotonic convergence,Included,0.23424177306545638,4.425703749187164,5.058515861434544,5.526999407565456
0.913261050876,5.83148908029,5.45762040265,5.28585695292,1.9600185363832492,1.611553950700987,Monotonic convergence,Included,0.2336455271918507,4.42020147864162,5.052211425728149,5.51950248011185
0.92577147623,5.823322546,5.45029497322,5.2789566888,1.9605812101632245,1.611553950700987,Monotonic convergence,Included,0.23306718544827923,4.415023634173053,5.045889503351721,5.512023874248279
0.938281901585,5.81515601172,5.44296954379,5.27205985731,1.9611965381651284,1.611553950700987,Monotonic convergence,Included,0.2324841743839226,4.4097407972629625,5.039575682926078,5.504544031693923
0.950792326939,5.80698947743,5.43564411436,5.26517665031,1.9620137025579858,1.611553950700987,Monotonic convergence,Included,0.23188263026638253,4.4040807301827165,5.033294020043617,5.497059280576383
0.963302752294,5.79888254952,5.42834506706,5.25829344331,1.9626718788431434,1.611553950700987,Monotonic convergence,Included,0.23131697310082283,4.399088327699205,5.026976470209178,5.489610416410823
0.975813177648,5.79080077194,5.42107240155,5.25141729125,1.9630412985521086,1.611553950700987,Monotonic convergence,Included,0.23077760576621484,4.394577558152546,5.020639685483785,5.482194897016215
0.988323603003,5.78271899436,5.41379973604,5.24455152704,1.9635651338183397,1.611553950700987,Monotonic convergence,Included,0.23022410809891156,4.389776836244547,5.014327418941088,5.474775635138911
1.00083402836,5.77463721678,5.40652707053,5.23768576283,1.9640913830747422,1.611553950700987,Monotonic convergence,Included,0.22967061043160827,4.384963528386892,5.008015152398392,5.467356373261608
1.01334445371,5.76655543921,5.39926966733,5.23082917772,1.964426771929201,1.611553950700987,Monotonic convergence,Included,0.22912538760280898,4.380288092349435,5.00170379011719,5.459954565322809
1.02585487907,5.75847366163,5.39204402399,5.22397742949,1.9641493284408322,1.611553950700987,Monotonic convergence,Included,0.22861678743072497,4.376297380998525,4.995360642059275,5.452594216920724
1.03836530442,5.75042231012,5.38481838065,5.21712576986,1.9640790492702467,1.611553950700987,Monotonic convergence,Included,0.22810806673827533,4.372293803152775,4.989017703121725,5.445233836598275
1.05087572977,5.74240512886,5.37759273731,5.21028704159,1.9644339101978279,1.611553950700987,Monotonic convergence,Included,0.22758175584005616,4.367931248766787,4.982705285749944,5.437868797430056
1.06338615513,5.7343879476,5.37037794228,5.20344984179,1.9645772500332075,1.611553950700987,Monotonic convergence,Included,0.22706812248722635,4.363799582799751,4.976381719302774,5.430517964277227
1.07589658048,5.72637076634,5.36319499051,5.19661668337,1.9640876456883387,1.611553950700987,Monotonic convergence,Included,0.2265923073368123,4.360381400882304,4.970024376033188,5.423208990706812
1.08840700584,5.71835358507,5.35601203874,5.18979521104,1.963770845685369,1.611553950700987,Monotonic convergence,Included,0.2261005958902824,4.356638107979859,4.963694615149717,5.4158958069302825
1.10091743119,5.71033640381,5.34882908696,5.18297373871,1.963452624516268,1.611553950700987,Monotonic convergence,Included,0.2256088844301485,4.352884961487393,4.957364854279851,5.408582623140149
